,device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price
0,Honor,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449
1,Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647
2,Honor,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765
3,Honor,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588
4,Honor,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804
5,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608
6,Honor,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375
7,Honor,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148
8,Honor,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204
9,Honor,Android,16.23,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771
10,Honor,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657
11,Honor,Android,15.32,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057
12,Honor,Android,16.69,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763
13,Honor,Android,15.32,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706
14,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547
15,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293
16,Honor,Android,15.9,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217
17,Honor,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443
18,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089
